Search term,Campaign,Ad group,Match type,Added/Excluded,Clicks,Impr.,Cost,Conversions,RECOMMENDATION,REASON
field hockey camp long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
catching drills for kids,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
day camps suffolk county,CM - pMax - Portland (MxConv), --,Performance Max,None,0,5,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'suffolk'
long island children's museum summer camp,CM - pMax - Portland (MxConv), --,Performance Max,None,0,5,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
nassau dance center,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'nassau'
pistol pete dribbling drills,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
things to do in farmingdale ny today,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
packing for sleepaway camp,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'sleepaway'
how to win every 1v1 in basketball,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
farmingdale hawks cheerleading,CM - pMax - Portland (MxConv), --,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'farmingdale'
suny farmingdale lacrosse,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'farmingdale'
horse ranch long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,4,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
sleep away summer camp near me,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'sleep away'
camps r us bellmore,CM - pMax - Portland (MxConv), --,Performance Max,None,0,12,0.00,0.00,ADD NEGATIVE,Competitor term: 'camps r us'
post moves basketball drills,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
camps in nassau county,CM - pMax - Portland (MxConv), --,Performance Max,None,0,7,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'nassau'
baseball catcher drills,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
post player drills for basketball,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
future stars camp long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,4,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
summer camp jobs yonkers ny,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
summer rising nyc,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
field hockey ball control drills,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
camp w,CM - pMax - Portland (MxConv), --,Performance Max,None,0,10,0.00,0.00,ADD NEGATIVE,Competitor term: 'camp w'
elite soccer long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
long island sound sharks football,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
