Search term,Campaign,Ad group,Match type,Added/Excluded,Clicks,Impr.,Cost,Conversions,RECOMMENDATION,NEG LEVEL,REASON
mamaroneck recreation,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
driftwood camp long island,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'driftwood camp'
kids strong,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
little league camp,CM - Nonbranded - Other Geos (MxConv),Baseball Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Baseball Camps'
buckley camp roslyn,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'buckley camp'
jay fiedler camp,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Football Camps'
what size soccer ball for 3 year old,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
bballstars411,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,Phrase match (close variant),None,1,5,2.74,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Basketball Camp'
things to do in long island ny,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
sport time near me,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
how to know if your tennis racket is the right size,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
girls u12 soccer ball size,CM - pMax - Portland (MxConv),--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'ball size'
sports on long island,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
merc camp,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Basketball Camp'
summer school for 13 year olds,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
soccer ball size for 9 year old,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'ball size'
camps for 11 year olds near me,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
tyler kolek camp,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,Phrase match (close variant),None,1,4,2.72,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Basketball Camp'
warm up exercises before workout,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'workout'
driftwood day camp application,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'driftwood day camp'
town of huntington camp,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
pierce day camp tuition,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,1,2,2.78,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'pierce day camp'
icamp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
