Search term,Campaign,Ad group,Match type,Added/Excluded,Clicks,Impr.,Cost,Conversions,RECOMMENDATION,NEG LEVEL,REASON
swim techniques,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'technique'
lugares para visitar en long island gratis,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
water activities long island,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
how to measure tennis racket size,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
horseback riding long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
long island soccer academy,CM - Non Brand - PMax,--,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
long island travel lacrosse teams,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
farms on long island for kids,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
soccer ball size,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'ball size'
future star academy,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Brand term in pMax - should go to branded campaign
nassau community college swimming classes,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'nassau'
future stars suffolk,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'suffolk'
