Campaign,Ad group,Keyword,Type,Keyword match type
Search - Resor,Travel Agent & Agency,uvita surf and tour costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,intrepid costa rica,Negative,Exact
Search - Resor,,costa rica fishing adventures,Campaign negative,Exact
Search - Resor,Trip planner,tour costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,tavo tours costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,arenal rides costa rica,Negative,Exact
Search - Resor,,hostels in costa rica on the beach,Campaign negative,Exact
Search - Resor,,the westin costa rica,Campaign negative,Exact
Search - Resor,,westin costa rica all inclusive,Campaign negative,Exact
Search - Resor,Trip planner,travel agency to costa rica,Negative,Exact
Search - Resor,,the westin costa rica all inclusive,Campaign negative,Exact
Search - Resor,,entercostarica,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,fora travel costa rica,Negative,Exact
Search - Resor,,costco travel packages to costa rica,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,monkey tours costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,my tan feet costa rica,Negative,Exact
Search - Resor,All-Inclusive & Custom,westin playa conchal guanacaste costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,tours in costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,costa rica for first timers,Negative,Exact
Search - Resor,,costa rica fishing trips all inclusive,Campaign negative,Exact
Search - Resor,,costco travel to costa rica,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,afa costa rica,Negative,Exact
Search - Resor,,costco travel packages costa rica,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,costa rica monkey tours,Negative,Exact
Search - Resor,Luxury Packages,the spring resort and spa costa rica,Negative,Exact
Search - Resor,,costa rica september itinerary,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,costa rica private tours,Negative,Exact
Search - Resor,Travel Agent & Agency,solo travel in costa rica,Negative,Exact
Search - Resor,,costa rica trip itinerary 7 days,Campaign negative,Exact
Search - Resor,Honeymoon & Romance,amor arenal resort,Negative,Exact
Search - Resor,Travel Agent & Agency,costa rican tours,Negative,Exact
Search - Resor,,all inclusive westin costa rica,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,tours from guanacaste costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,best way to do costa rica,Negative,Exact
Search - Resor,,westin costa rica,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,aye tours travel costa rica,Negative,Exact
Search - Resor,,westin costa rica,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,tours and transfers costa rica,Negative,Exact
Search - Resor,,hostels in costa rica on the beach,Campaign negative,Exact
Search - Resor,,costco travel to costa rica,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,triodeturismo,Negative,Exact
Search - Resor,Travel Agent & Agency,what to visit in costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,pacific trade winds tours,Negative,Exact
Search - Resor,Travel Agent & Agency,best way to see costa rica,Negative,Exact
Search - Resor,,club med costa rica,Campaign negative,Exact
Search - Resor,All-Inclusive & Custom,occidental papagayo culebra bay costa rica,Negative,Exact
Search - Resor,,vacaciones de 15 días costa rica,Campaign negative,Exact
Search - Resor,Family Packages,all inclusive kid friendly costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,arenal tours costa rica,Negative,Exact
Search - Resor,,7 day itinerary costa rica,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,tpv tours costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,inside tours cr,Negative,Exact
Search - Resor,Travel Agent & Agency,costa rica retirement tours,Negative,Exact
Search - Resor,All-Inclusive & Custom,costa rica the westin reserva conchal package,Negative,Exact
Search - Resor,All-Inclusive & Custom,the westin reserva conchal costa rica,Negative,Exact
