Search term,Campaign,Ad group,Match type,Added/Excluded,Clicks,Impr.,Cost,Conversions,RECOMMENDATION,NEG LEVEL,REASON
costa rica fishing adventures,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'g adventures'
hostels in costa rica on the beach,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Accommodation-only search - not a package buyer: 'hostel'
the westin costa rica,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'westin costa rica'
westin costa rica all inclusive,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,1,4,2.88,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'westin costa rica'
the westin costa rica all inclusive,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,1,1,1.43,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'westin costa rica'
entercostarica,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'entercostarica'
costco travel packages to costa rica,Search - Resor,Vacation Packages,Phrase match,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
costa rica fishing trips all inclusive,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Fishing-specific - separate niche: 'fishing'
costco travel to costa rica,Search - Resor,Trip planner,Phrase match (close variant),None,1,1,1.76,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
costco travel packages costa rica,Search - Resor,Vacation Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
costa rica september itinerary,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'itinerary'
costa rica trip itinerary 7 days,Search - Resor,Trip & Vacation,Phrase match (close variant),None,1,1,2.96,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'itinerary'
all inclusive westin costa rica,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'westin costa rica'
westin costa rica,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'westin costa rica'
westin costa rica,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,3,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'westin costa rica'
hostels in costa rica on the beach,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Accommodation-only search - not a package buyer: 'hostel'
costco travel to costa rica,Search - Resor,Travel Packages,Phrase match,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
club med costa rica,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'club med'
vacaciones de 15 días costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Spanish-language search - targets US English: 'vacaciones'
7 day itinerary costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'itinerary'
westin costa rica all inclusive,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'westin costa rica'
must do things in costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'must do'
where to stay in costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Accommodation-only search - not a package buyer: 'where to stay'
costco travel costa rica,Search - Resor,Vacation Packages,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
costco travel packages to costa rica,Search - Resor,Travel Packages,Phrase match,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
tabacon resort costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'tabacon'
costco travel costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,1,1,5.41,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
vacaciones 15 dias en costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Spanish-language search - targets US English: 'vacaciones'
costa rica december itinerary,Search - Resor,Trip & Vacation,Phrase match (close variant),None,1,1,2.32,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'itinerary'
excursiones en costa rica,Search - Resor,Trip & Vacation,Exact match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Short excursion intent - not multi-day package: 'excursion'
excursion in costa rica,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Short excursion intent - not multi-day package: 'excursion'
the westin costa rica,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'westin costa rica'
costa rica with kids itinerary 7 days,Search - Resor,Family Packages,Phrase match,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'itinerary'
costa rica paquetes turisticos,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Spanish-language search - targets US English: 'paquetes'
all inclusive vacations costa rica,Search - Resor,All-Inclusive & Custom,Exact match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'vacations costa rica'
costa rica fishing packages,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Fishing-specific - separate niche: 'fishing'
costco travel costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
costa rica discounts,Search - Resor,Trip planner,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Budget/cheap intent - not Tulu market: 'discount'
excursiones en costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,1,1,2.44,0.00,ADD NEGATIVE,CAMPAIGN,Short excursion intent - not multi-day package: 'excursion'
costa rica trip itinerary 7 days,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'itinerary'
must sees in costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'must see'
costco travel costa rica,Search - Resor,Travel Packages,Phrase match,None,0,4,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
guanacaste westin costa rica,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'westin costa rica'
bungalow costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Budget/cheap intent - not Tulu market: 'low cost'
6 day itinerary costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'itinerary'
costa rica honeymoon itinerary,Search - Resor,Honeymoon & Romance,Exact match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'itinerary'
costco travel costa rica,Search - Resor,Vacation Packages,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
costa rica vacaciones 2026,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Spanish-language search - targets US English: 'vacaciones'
vacaciones a costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,1,1,3.33,0.00,ADD NEGATIVE,CAMPAIGN,Spanish-language search - targets US English: 'vacaciones'
costa rica 3 days itinerary,Search - Resor,Travel Packages,Phrase match (close variant),None,2,1,9.72,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'itinerary'
vacaciones en costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Spanish-language search - targets US English: 'vacaciones'
costa rica excursion,Search - Resor,Travel Packages,Exact match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Short excursion intent - not multi-day package: 'excursion'
tabacon costa rica,Search - Resor,Luxury Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'tabacon'
day tours costa rica,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Short excursion intent - not multi-day package: 'day tour'
best tourist spots in costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'tourist'
groupon costa rica deal,Search - Resor,Vacation Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Budget/cheap intent - not Tulu market: 'deal'
tourist costa rica,Search - Resor,Trip & Vacation,Exact match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'tourist'
guanacaste westin costa rica,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'westin costa rica'
costco travel costa rica all inclusive,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,2,3,8.35,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
costa rica trip itinerary 7 days,Search - Resor,Trip & Vacation,Phrase match (close variant),None,1,1,3.41,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'itinerary'
paquetes a costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Spanish-language search - targets US English: 'paquetes'
costco travel packages costa rica,Search - Resor,Travel Packages,Phrase match,None,1,1,2.17,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
westin costa rica all inclusive,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'westin costa rica'
costco travel costa rica,Search - Resor,Vacation Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
costco travel costa rica packages,Search - Resor,Travel Packages,Phrase match,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
paquetes costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Spanish-language search - targets US English: 'paquetes'
costa rica 3 days itinerary,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'itinerary'
costa rica solo female travel itinerary,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'itinerary'
hostels costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Accommodation-only search - not a package buyer: 'hostel'
top 5 tourist attractions in costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,3,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'tourist'
hostels in costa rica on the beach,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Accommodation-only search - not a package buyer: 'hostel'
costa rica excursion,Search - Resor,Travel Packages,Exact match (close variant),None,1,1,1.46,0.00,ADD NEGATIVE,CAMPAIGN,Short excursion intent - not multi-day package: 'excursion'
getting around costa rica without a car,Search - Resor,Travel Packages,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'getting around'
must do things in costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,DIY research intent - low buying signal: 'must do'
costco travel costa rica packages,Search - Resor,Vacation Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'costco travel'
hostels in san jose costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Accommodation-only search - not a package buyer: 'hostel'
tours in costa rica,Search - Resor,Trip & Vacation,Exact match (close variant),None,0,1,0.00,0.00,REVIEW,,"Generic tour search - could be buyer, review manually"
tours in costa rica,Search - Resor,Travel Packages,Exact match (close variant),None,0,1,0.00,0.00,REVIEW,,"Generic tour search - could be buyer, review manually"
tours in costa rica,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,1,0.00,0.00,REVIEW,,"Generic tour search - could be buyer, review manually"
costa rica private tours,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,1,0.00,0.00,REVIEW,,"Generic tour search - could be buyer, review manually"
tours in costa rica,Search - Resor,Trip planner,Exact match (close variant),None,0,7,0.00,0.00,REVIEW,,"Generic tour search - could be buyer, review manually"
best tours in costa rica,Search - Resor,Trip & Vacation,Exact match (close variant),None,0,1,0.00,0.00,REVIEW,,"Generic tour search - could be buyer, review manually"
costa rica expeditions,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,2,0.00,0.00,REVIEW,,"Generic tour search - could be buyer, review manually"
all inclusive resort in costa rica on the beach,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
adult only all inclusive costa rica,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
hilton costa rica all inclusive,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
scuba diving in costa rica for beginners,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
all inclusive vacation in costa rica for a family,Search - Resor,Family Packages,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
fort lauderdale to costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
