Campaign,Ad group,Keyword,Type,Keyword match type
Search - Resor,,costa rica fishing adventures,Campaign negative,Exact
Search - Resor,,hostels in costa rica on the beach,Campaign negative,Exact
Search - Resor,,the westin costa rica,Campaign negative,Exact
Search - Resor,,westin costa rica all inclusive,Campaign negative,Exact
Search - Resor,,the westin costa rica all inclusive,Campaign negative,Exact
Search - Resor,,entercostarica,Campaign negative,Exact
Search - Resor,,costco travel packages to costa rica,Campaign negative,Exact
Search - Resor,,costa rica fishing trips all inclusive,Campaign negative,Exact
Search - Resor,,costco travel to costa rica,Campaign negative,Exact
Search - Resor,,costco travel packages costa rica,Campaign negative,Exact
Search - Resor,,costa rica september itinerary,Campaign negative,Exact
Search - Resor,,costa rica trip itinerary 7 days,Campaign negative,Exact
Search - Resor,,all inclusive westin costa rica,Campaign negative,Exact
Search - Resor,,westin costa rica,Campaign negative,Exact
Search - Resor,,club med costa rica,Campaign negative,Exact
Search - Resor,,vacaciones de 15 das costa rica,Campaign negative,Exact
Search - Resor,,7 day itinerary costa rica,Campaign negative,Exact
Search - Resor,,must do things in costa rica,Campaign negative,Exact
Search - Resor,,where to stay in costa rica,Campaign negative,Exact
Search - Resor,,costco travel costa rica,Campaign negative,Exact
Search - Resor,,tabacon resort costa rica,Campaign negative,Exact
Search - Resor,,vacaciones 15 dias en costa rica,Campaign negative,Exact
Search - Resor,,costa rica december itinerary,Campaign negative,Exact
Search - Resor,,excursiones en costa rica,Campaign negative,Exact
Search - Resor,,excursion in costa rica,Campaign negative,Exact
Search - Resor,,costa rica with kids itinerary 7 days,Campaign negative,Exact
Search - Resor,,costa rica paquetes turisticos,Campaign negative,Exact
Search - Resor,,all inclusive vacations costa rica,Campaign negative,Exact
Search - Resor,,costa rica fishing packages,Campaign negative,Exact
Search - Resor,,costa rica discounts,Campaign negative,Exact
Search - Resor,,must sees in costa rica,Campaign negative,Exact
Search - Resor,,guanacaste westin costa rica,Campaign negative,Exact
Search - Resor,,bungalow costa rica,Campaign negative,Exact
Search - Resor,,6 day itinerary costa rica,Campaign negative,Exact
Search - Resor,,costa rica honeymoon itinerary,Campaign negative,Exact
Search - Resor,,costa rica vacaciones 2026,Campaign negative,Exact
Search - Resor,,vacaciones a costa rica,Campaign negative,Exact
Search - Resor,,costa rica 3 days itinerary,Campaign negative,Exact
Search - Resor,,vacaciones en costa rica,Campaign negative,Exact
Search - Resor,,costa rica excursion,Campaign negative,Exact
Search - Resor,,tabacon costa rica,Campaign negative,Exact
Search - Resor,,day tours costa rica,Campaign negative,Exact
Search - Resor,,best tourist spots in costa rica,Campaign negative,Exact
Search - Resor,,groupon costa rica deal,Campaign negative,Exact
Search - Resor,,tourist costa rica,Campaign negative,Exact
Search - Resor,,costco travel costa rica all inclusive,Campaign negative,Exact
Search - Resor,,paquetes a costa rica,Campaign negative,Exact
Search - Resor,,costco travel costa rica packages,Campaign negative,Exact
Search - Resor,,paquetes costa rica,Campaign negative,Exact
Search - Resor,,costa rica solo female travel itinerary,Campaign negative,Exact
Search - Resor,,hostels costa rica,Campaign negative,Exact
Search - Resor,,top 5 tourist attractions in costa rica,Campaign negative,Exact
Search - Resor,,getting around costa rica without a car,Campaign negative,Exact
Search - Resor,,hostels in san jose costa rica,Campaign negative,Exact
