Account,Account name,Campaign,Ad Group,Account keyword type,Keyword,Criterion Type,Status,Comment
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,mamaroneck recreation,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,driftwood camp long island,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,kids strong,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Baseball Camps,None,little league camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,buckley camp roslyn,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,None,jay fiedler camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size soccer ball for 3 year old,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,None,bballstars411,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,things to do in long island ny,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,sport time near me,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,how to know if your tennis racket is the right size,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,girls u12 soccer ball size,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,sports on long island,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,None,merc camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Lacrosse Camps,None,hofstra lax camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,summer school for 13 year olds,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,soccer ball size for 9 year old,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Basketball Camp,None,schooled in hoops,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,camps for 11 year olds near me,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,None,tyler kolek camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,warm up exercises before workout,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,driftwood day camp application,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,town of huntington camp,Negative Exact,Enabled,
